Year,Borough,Waterborne Illness,Water Quality
2010,Bronx,7,556
2010,Brooklyn,28,1783
2010,Manhattan,17,584
2010,Queens,13,3525
2010,Staten Island,3,1694
2011,Bronx,8,682
2011,Brooklyn,6,1791
2011,Manhattan,19,592
2011,Queens,18,3224
2011,Staten Island,3,1566
2012,Bronx,18,662
2012,Brooklyn,13,2212
2012,Manhattan,16,734
2012,Queens,17,2830
2012,Staten Island,6,1929
2013,Bronx,28,649
2013,Brooklyn,23,1704
2013,Manhattan,26,1052
2013,Queens,35,2209
2013,Staten Island,5,2054
2014,Bronx,26,635
2014,Brooklyn,34,1695
2014,Manhattan,34,826
2014,Queens,29,2457
2014,Staten Island,13,2313
2015,Bronx,35,786
2015,Brooklyn,37,2084
2015,Manhattan,33,794
2015,Queens,26,2958
2015,Staten Island,12,1330
2016,Bronx,25,829
2016,Brooklyn,38,2840
2016,Manhattan,40,3073
2016,Queens,33,2837
2016,Staten Island,12,1929
2017,Bronx,23,848
2017,Brooklyn,33,4578
2017,Manhattan,27,1161
2017,Queens,30,3491
2017,Staten Island,7,1591
2018,Bronx,19,1070
2018,Brooklyn,45,2848
2018,Manhattan,32,1662
2018,Queens,17,3499
2018,Staten Island,6,1903
2019,Bronx,21,652
2019,Brooklyn,33,1915
2019,Manhattan,21,749
2019,Queens,21,1655
2019,Staten Island,5,1069
